"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.123449315882748,0.00801648963115834,0.241246085578508,0.582329317269076,0.515151515151515,0.647515851399712,0.505952380952381,0.446428571428571,0.563492063492063
"Eligibility",0.0857142857142857,NA,NA,0.628571428571429,NA,NA,0.375,NA,NA
"Recruitment",0.307865168539326,NA,NA,0.56,NA,NA,0.553571428571429,NA,NA
"Setting",-0.0534653465346533,NA,NA,0.666666666666667,NA,NA,0.625,NA,NA
"Organization",0.0462287104622872,NA,NA,0.4,NA,NA,0.642857142857143,NA,NA
"Flex. delivery",0.341176470588235,NA,NA,0.571428571428571,NA,NA,0.5,NA,NA
"Flex. adherence",0.140350877192982,NA,NA,0.666666666666667,NA,NA,0.571428571428571,NA,NA
"Follow-up",0.00473933649289093,NA,NA,0.423076923076923,NA,NA,0.535714285714286,NA,NA
"Outcome",-0.221183800623053,NA,NA,0.676470588235294,NA,NA,0.392857142857143,NA,NA
"Analysis",0.286118980169972,NA,NA,0.583333333333333,NA,NA,0.357142857142857,NA,NA
